1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	E	68
1	J	68
3	R	68
3	W	74
1	R	74
4	N	74
4	J	74
1	W	75
4	R	75
5	N	107
5	J	107
4	W	107
5	R	107
4	J	109
5	E	110
4	R	110
4	W	115
0	R	115
4	J	572
4	R	572
4	W	573
0	R	573
4	J	594
4	R	594
4	W	594
0	R	594
4	J	641
4	R	641
4	W	641
0	R	641
4	J	661
4	R	661
4	W	661
0	R	661
4	J	748
4	R	748
4	W	748
0	R	748
4	J	798
4	R	798
4	W	798
0	R	798
4	J	817
4	R	817
4	W	822
0	R	822
4	J	901
4	R	901
4	W	901
0	R	901
4	J	1138
4	R	1138
6	N	1139
6	J	1139
4	W	1140
6	R	1140
7	N	1141
7	J	1142
8	N	1142
8	J	1142
9	N	1143
9	J	1143
10	N	1143
10	J	1144
11	N	1144
11	J	1144
12	N	1145
12	J	1145
13	N	1145
13	J	1146
14	N	1146
14	J	1146
15	N	1147
15	J	1147
16	N	1147
16	J	1148
6	W	1149
16	R	1149
16	J	1219
15	R	1219
15	J	1289
14	R	1289
14	J	1359
13	R	1359
13	J	1429
12	R	1429
12	J	1499
11	R	1499
11	J	1569
10	R	1569
10	J	1639
9	R	1639
9	J	1709
8	R	1709
8	J	1779
7	R	1779
7	W	1779
16	R	1779
16	J	1849
15	R	1849
7	J	1919
15	J	1919
7	R	1919
7	W	1919
14	R	1919
14	J	1989
13	R	1989
7	J	2059
13	J	2059
7	R	2059
7	W	2059
12	R	2059
12	J	2129
11	R	2129
7	J	2199
11	J	2199
7	R	2199
7	W	2199
10	R	2199
10	J	2269
9	R	2269
7	J	2339
9	J	2339
7	R	2339
7	W	2339
8	R	2339
8	W	2369
16	R	2369
16	J	2439
15	R	2439
8	J	2509
7	J	2509
15	J	2509
7	R	2509
7	W	2509
8	R	2509
8	W	2509
14	R	2509
14	J	2579
13	R	2579
8	J	2649
7	J	2649
13	J	2649
7	R	2649
7	W	2649
8	R	2649
8	W	2649
12	R	2649
12	J	2719
11	R	2719
8	J	2789
7	J	2789
11	J	2789
7	R	2789
7	W	2789
8	R	2789
8	W	2789
10	R	2789
10	J	2859
9	R	2859
9	W	2919
8	J	2919
7	J	2919
7	R	2919
7	W	2919
8	R	2919
8	W	2919
16	R	2919
16	J	2989
15	R	2989
9	J	3059
8	J	3059
7	J	3059
15	J	3059
7	R	3059
7	W	3059
8	R	3059
8	W	3059
9	R	3059
9	W	3059
14	R	3059
3	J	3129
14	J	3129
3	R	3129
3	W	3129
13	R	3129
9	J	3199
8	J	3199
7	J	3199
13	J	3199
7	R	3199
7	E	3199
6	J	3199
6	R	3199
6	E	3200
4	J	3200
4	R	3200
17	N	3200
17	J	3201
4	W	3201
8	R	3201
8	W	3201
9	R	3201
9	W	3201
12	R	3201
12	J	3271
11	R	3271
9	J	3341
8	J	3341
11	J	3341
8	R	3341
8	W	3341
9	R	3341
9	W	3341
10	R	3341
10	J	3411
17	R	3411
4	J	3413
17	E	3413
4	R	3413
4	W	3414
16	R	3414
9	J	3484
8	J	3484
16	J	3484
8	R	3484
8	W	3484
9	R	3484
9	W	3484
15	R	3484
15	J	3554
14	R	3554
9	J	3624
8	J	3624
14	J	3624
8	R	3624
8	E	3624
1	J	3624
1	R	3624
1	W	3624
9	R	3624
9	W	3624
13	R	3624
13	J	3694
12	R	3694
9	J	3764
12	J	3764
9	R	3764
9	W	3764
11	R	3764
11	J	3834
10	R	3834
4	J	3853
10	W	3854
4	R	3854
4	W	3854
16	R	3854
9	J	3924
16	J	3924
9	R	3924
9	W	3924
15	R	3924
4	J	3934
10	J	3994
15	J	3994
4	R	3994
4	W	3994
10	R	3994
10	W	3994
14	R	3994
4	J	4040
9	J	4064
14	J	4064
4	R	4064
4	W	4064
9	R	4064
9	E	4064
1	J	4064
1	R	4064
1	W	4064
13	R	4064
4	J	4113
10	J	4134
13	J	4134
4	R	4134
4	W	4134
10	R	4134
10	W	4134
12	R	4134
4	J	4167
12	J	4204
4	R	4204
4	W	4204
11	R	4204
11	W	4254
10	J	4254
10	R	4254
10	W	4254
16	R	4254
4	J	4277
16	J	4324
4	R	4324
18	N	4325
18	J	4325
4	W	4326
15	R	4326
11	J	4396
10	J	4396
15	J	4396
10	R	4396
10	W	4396
11	R	4396
11	W	4396
14	R	4396
14	J	4466
13	R	4466
11	J	4536
10	J	4536
13	J	4536
10	R	4536
10	W	4536
11	R	4536
11	W	4536
12	R	4536
12	J	4606
18	R	4606
